                          file  hz  kbitrate       len  sum  v_min  v_max   v_mean  v_median  dts_len
0                VR_1080p_60Hz  60     16000  12188941  746     56  30400  16339.1   16394.5   372516
1                VR_1080p_60Hz  60     22000  21274658  961     80  40290  22138.0   22494.0   480017
2                VR_1080p_60Hz  60     25000  24170156  961     69  45417  25151.0   25549.0   480017
3                VR_1080p_60Hz  60     30000  28969015  961     81  51884  30144.7   30654.0   480017
4                VR_1080p_30Hz  30      8000   7566479  924     26  19745   8188.8    8137.0   461501
5                VR_1080p_30Hz  30     11000  10404580  924     24  22810  11260.4   11216.0   461501
6                VR_1080p_30Hz  30     13000  12295874  924     48  25631  13307.2   13299.5   461501
7                VR_1080p_30Hz  30     16000  15124227  924    100  28333  16368.2   16328.5   461501
8        VR_Headset_1080p_60Hz  60     16000  15001361  920     37  24166  16305.8   16340.0   459500
9        VR_Headset_1080p_60Hz  60     22000  20625757  920     37  31978  22419.3   22526.5   459500
10       VR_Headset_1080p_60Hz  60     25000  23436627  920     37  34990  25474.6   25603.0   459500
11       VR_Headset_1080p_60Hz  60     30000  28122630  920     38  41399  30568.1   30748.0   459500
12  VR_Headset_View_1080p_30Hz  30      8000   7133219  877     18  15917   8133.7    8200.0   438000
13  VR_Headset_View_1080p_30Hz  30     11000   9806554  877     18  20782  11181.9   11238.0   438000
14  VR_Headset_View_1080p_30Hz  30     13000  11589477  877     18  22536  13214.9   13315.0   438000
15  VR_Headset_View_1080p_30Hz  30     16000  14261086  877     19  27675  16261.2   16433.0   438000
