                          file  hz  kbitrate         len    sum  v_min   v_max   v_mean  v_median  dts_len
0                VR_1080p_60Hz  60     16000   760281037  22379    118  387458  33973.0   35499.0   372966
1                VR_1080p_60Hz  60     22000  1325954752  28812    167  385397  46020.9   48145.0   480166
2                VR_1080p_60Hz  60     25000  1506432298  28812    146  440675  52284.9   54844.5   480166
3                VR_1080p_60Hz  60     30000  1805508077  28812    169  477439  62665.1   65277.5   480166
4                VR_1080p_30Hz  30      8000   471423630  13857    100  270341  34020.6   32679.0   461834
5                VR_1080p_30Hz  30     11000   648228995  13857    100  311474  46779.9   45172.0   461834
6                VR_1080p_30Hz  30     13000   766055987  13857    121  358918  55283.0   53609.0   461834
7                VR_1080p_30Hz  30     16000   942255722  13857    185  377082  67998.5   66041.0   461834
8        VR_Headset_1080p_60Hz  60     16000   934585941  27579     79  312988  33887.6   36627.0   459633
9        VR_Headset_1080p_60Hz  60     22000  1284979680  27579     79  366178  46592.7   49471.0   459633
10       VR_Headset_1080p_60Hz  60     25000  1460064413  27579     79  387886  52941.2   56369.0   459633
11       VR_Headset_1080p_60Hz  60     30000  1751984055  27579     80  411150  63526.0   67748.0   459633
12  VR_Headset_View_1080p_30Hz  30      8000   444468832  13143     79  221308  33817.9   32955.0   438067
13  VR_Headset_View_1080p_30Hz  30     11000   611011293  13143     79  284930  46489.5   45322.0   438067
14  VR_Headset_View_1080p_30Hz  30     13000   722149216  13143     79  341430  54945.5   53781.0   438067
15  VR_Headset_View_1080p_30Hz  30     16000   888561586  13143     80  398645  67607.2   66307.0   438067
